counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,51.26,0.0,51.26,51.26,0.0,2.95,5.75,5.73,17.44,16.92,563860.0,32334.93,11000000000.0,2022-10-26,14:35:44
2.0,,,BHL,0.0,10.99,10.99,10.99,0.0,0.0,0.0,-8.15,-12.28,1.42,9228.86,-751.84,839750705.0,2022-10-26,14:35:44
3.0,14.87,14.87,FDHB,0.0,14.87,14.88,14.87,405200.0,1.05,7.06,11.36,8.8,3.25,102618.33,11658.84,6901031250.0,2022-10-26,14:35:44
4.0,100.07,100.07,FMBCH,100.07,0.0,100.07,100.07,11000.0,1.68,1.68,8.88,11.26,2.59,245997.08,21841.25,2458250000.0,2022-10-26,14:35:44
5.0,,,ICON,0.0,11.97,11.97,11.97,0.0,0.24,2.01,10.77,9.28,0.91,79959.6,8612.79,6680000000.0,2022-10-26,14:35:44
6.0,,,ILLOVO,,,500.1,500.1,0.0,18.0,3.6,5.74,17.43,4.05,356793.54,20469.0,713444391.0,2022-10-26,14:35:44
7.0,,,MPICO,0.0,20.67,20.67,20.67,0.0,0.31,1.5,9.91,10.09,1.0,47500.64,4705.66,2298047460.0,2022-10-26,14:35:44
8.0,,,NBM,1220.0,0.0,1220.0,1220.0,0.0,49.26,4.04,6.13,16.31,3.98,569656.72,34928.0,466931738.0,2022-10-26,14:35:44
9.0,,,NBS,0.0,22.62,22.62,22.62,0.0,1.35,5.97,11.68,8.56,2.84,65837.17,7692.37,2910573356.0,2022-10-26,14:35:44
10.0,50.95,50.95,NICO,0.0,50.96,50.95,50.95,60000.0,3.25,6.38,18.32,5.46,1.1,53142.94,9736.0,1043041096.0,2022-10-26,14:35:44
11.0,,,NITL,112.0,125.0,112.0,112.0,0.0,2.85,2.54,30.89,3.24,0.87,15120.0,4670.89,135000000.0,2022-10-26,14:35:44
12.0,,,OMU,,,1359.99,1359.99,0.0,41.06,3.02,5.62,17.78,2.01,22172.45,1247.05,16303389.0,2022-10-26,14:35:44
13.0,2181.38,2181.38,PCL,0.0,2181.38,2181.39,2181.38,11328.0,34.0,1.56,8.28,12.07,1.39,262323.64,21728.0,120255820.0,2022-10-26,14:35:44
14.0,,,STANDARD,1841.02,0.0,1841.02,1841.02,0.0,37.07,2.01,5.73,17.44,3.69,432028.78,24769.0,234668162.0,2022-10-26,14:35:44
15.0,,,SUNBIRD,80.03,0.0,80.03,80.03,0.0,0.0,0.0,3.58,27.94,0.75,20934.45,749.39,261582580.0,2022-10-26,14:35:44
16.0,12.02,12.01,TNM,12.01,12.05,12.01,12.01,17934.0,0.43,3.58,8.04,12.44,2.45,120585.8,9690.0,10040450000.0,2022-10-26,14:35:44
