counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,BHL,8.06,0.0,8.05,8.05,0.0,1.15,14.29,7.49,13.35,1.31,6759.99,506.54,839750705.0,2018-09-03,15:21:21
2.0,159.98,159.98,FMBCH,0.0,159.98,159.99,159.98,305.0,0.0,0.0,6.75,14.81,3.6,373753.28,25245.06,2336250000.0,2018-09-03,15:21:21
3.0,240.0,240.0,ILLOVO,205.0,240.0,240.0,240.0,500000.0,0.0,0.0,4.13,24.18,4.68,171226.65,7080.0,713444391.0,2018-09-03,15:21:21
4.0,,,MPICO,19.45,0.0,19.45,19.45,0.0,0.18,0.93,11.39,8.78,1.62,44697.02,5092.87,2298047460.0,2018-09-03,15:21:21
5.0,,,NBM,310.05,0.0,310.02,310.02,0.0,19.3,6.23,13.23,7.56,1.79,144758.18,19147.0,466931738.0,2018-09-03,15:21:21
6.0,,,NBS,8.66,0.0,8.66,8.66,0.0,,,-4.33,-23.08,2.01,25205.57,-1092.31,2910573356.0,2018-09-03,15:21:21
7.0,54.0,52.0,NICO,52.0,0.0,54.0,53.95,596300.0,1.5,2.78,19.77,5.06,2.5,56272.07,11123.0,1043041096.0,2018-09-03,15:21:21
8.0,,,NITL,75.0,0.0,75.0,75.0,0.0,1.3,1.73,21.94,4.56,1.18,10125.0,2221.35,135000000.0,2018-09-03,15:21:21
9.0,,,OMU,,,2513.25,2513.25,0.0,0.0,0.0,9.65,10.36,1.54,14647.23,1413.28,5828003.0,2018-09-03,15:21:21
10.0,,,PCL,,,772.0,772.0,0.0,25.0,3.24,42.73,2.34,0.74,92837.49,39673.0,120255820.0,2018-09-03,15:21:21
11.0,,,STANDARD,600.0,670.0,670.0,670.0,0.0,10.65,1.59,7.74,12.93,2.18,157227.67,12162.0,234668162.0,2018-09-03,15:21:21
12.0,,,SUNBIRD,,,145.0,145.0,0.0,0.92,0.63,6.42,15.58,2.02,37929.47,2433.87,261582580.0,2018-09-03,15:21:21
13.0,28.5,28.5,TNM,0.0,28.5,27.98,28.5,1974723.0,0.6,2.11,4.58,21.83,9.82,286152.83,13108.0,10040450000.0,2018-09-03,15:21:21
