counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,32.53,0.0,32.53,32.53,0.0,2.1,6.46,6.17,16.2,14.85,357830.0,22091.0,11000000000.0,2021-06-28,14:37:23
2.0,,,BHL,,,11.0,11.0,0.0,0.0,0.0,-4.91,-20.36,1.37,9237.26,-453.77,839750705.0,2021-06-28,14:37:23
3.0,,,FDHB,0.0,16.0,16.0,16.0,0.0,0.43,2.69,12.67,7.89,4.09,110416.5,13988.78,6901031250.0,2021-06-28,14:37:23
4.0,52.02,52.02,FMBCH,52.01,0.0,52.0,52.02,6500.0,0.62,1.19,7.77,12.86,1.97,127878.17,9942.0,2458250000.0,2021-06-28,14:37:23
5.0,,,ICON,10.31,12.13,12.13,12.13,0.0,0.23,1.9,10.62,9.42,1.0,81028.4,8604.76,6680000000.0,2021-06-28,14:37:23
6.0,,,ILLOVO,104.73,120.43,104.72,104.72,0.0,2.0,1.91,3.67,27.28,1.04,74711.9,2739.0,713444391.0,2021-06-28,14:37:23
7.0,,,MPICO,16.0,0.0,16.0,16.0,0.0,0.28,1.75,11.51,8.69,0.84,36768.76,4231.03,2298047460.0,2021-06-28,14:37:23
8.0,650.08,650.08,NBM,650.08,0.0,650.08,650.08,200.0,27.84,4.28,7.38,13.55,2.58,303542.98,22406.0,466931738.0,2021-06-28,14:37:23
9.0,22.98,22.98,NBS,0.0,22.98,22.98,22.98,422.0,1.15,5.0,10.54,9.49,3.49,66884.98,7049.75,2910573356.0,2021-06-28,14:37:23
10.0,,,NICO,50.0,0.0,55.0,55.0,0.0,2.3,4.18,17.44,5.73,1.43,57367.26,10004.0,1043041096.0,2021-06-28,14:37:23
11.0,,,NITL,80.7,94.94,94.94,94.94,0.0,1.3,1.37,11.54,8.67,0.99,12816.9,1478.52,135000000.0,2021-06-28,14:37:23
12.0,,,OMU,0.0,2190.0,2190.0,2190.0,0.0,18.25,0.83,-2.17,-46.02,3.01,35619.56,-774.07,16264639.0,2021-06-28,14:37:23
13.0,1199.94,1199.94,PCL,1020.0,1199.94,1199.94,1199.94,502375.0,31.0,2.58,2.49,40.19,0.91,144299.77,3590.0,120255820.0,2021-06-28,14:37:23
14.0,,,STANDARD,1200.15,0.0,1200.15,1200.15,0.0,44.74,3.73,8.43,11.86,2.66,281636.99,23743.0,234668162.0,2021-06-28,14:37:23
15.0,,,SUNBIRD,76.5,0.0,90.0,90.0,0.0,0.0,0.0,-5.01,-19.95,0.87,23542.43,-1179.85,261582580.0,2021-06-28,14:37:23
16.0,,,TNM,14.0,16.0,16.0,16.0,0.0,0.4,2.5,4.81,20.79,3.66,160647.2,7728.0,10040450000.0,2021-06-28,14:37:23
