counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,0.0,27.98,27.98,27.98,0.0,1.25,4.47,5.17,19.35,19.54,307780.0,15908.0,11000000000.0,2021-01-05,14:47:27
2.0,12.93,12.93,BHL,0.0,12.93,12.94,12.93,12915.0,0.2,1.55,4.3,23.27,1.67,10857.98,466.7,839750705.0,2021-01-05,14:47:27
3.0,,,FDHB,0.0,14.45,14.45,14.45,0.0,0.0,0.0,7.87,12.71,4.4,99719.9,7846.36,6901031250.0,2021-01-05,14:47:27
4.0,,,FMBCH,25.35,0.0,22.04,22.04,0.0,0.0,0.0,-6.79,-14.72,0.94,54179.83,-3679.93,2458250000.0,2021-01-05,14:47:27
5.0,,,ICON,10.5,0.0,12.27,12.27,0.0,0.21,1.71,8.84,11.31,1.11,81963.6,7248.62,6680000000.0,2021-01-05,14:47:27
6.0,,,ILLOVO,68.5,0.0,80.48,80.48,0.0,2.0,2.49,4.77,20.96,0.8,57418.0,2739.0,713444391.0,2021-01-05,14:47:27
7.0,,,MPICO,0.0,19.5,21.0,21.0,0.0,0.25,1.19,11.46,8.72,1.24,48259.0,5532.02,2298047460.0,2021-01-05,14:47:27
8.0,,,NBM,650.0,0.0,650.0,650.0,0.0,17.91,2.76,5.64,17.74,3.01,303505.63,17106.0,466931738.0,2021-01-05,14:47:27
9.0,,,NBS,0.0,21.9,20.75,20.75,0.0,0.35,1.69,7.38,13.55,3.94,60394.4,4457.61,2910573356.0,2021-01-05,14:47:27
10.0,,,NICO,44.2,52.0,52.0,52.0,0.0,1.9,3.65,14.77,6.77,1.7,54238.14,8011.0,1043041096.0,2021-01-05,14:47:27
11.0,,,NITL,80.75,94.95,94.95,94.95,0.0,0.75,0.79,13.88,7.2,1.11,12818.25,1779.69,135000000.0,2021-01-05,14:47:27
12.0,,,OMU,0.0,2199.98,2199.98,2199.98,0.0,54.03,2.46,3.84,26.06,3.27,34236.49,1313.71,15562181.0,2021-01-05,14:47:27
13.0,,,PCL,0.0,1200.0,1309.47,1309.47,0.0,26.0,1.99,5.18,19.31,1.0,157471.39,8157.0,120255820.0,2021-01-05,14:47:27
14.0,,,STANDARD,950.0,1200.0,1046.39,1046.39,0.0,30.26,2.89,6.47,15.46,2.81,245554.42,15879.0,234668162.0,2021-01-05,14:47:27
15.0,,,SUNBIRD,0.0,105.0,105.0,105.0,0.0,1.0,0.95,9.45,10.59,1.18,27466.17,2594.55,261582580.0,2021-01-05,14:47:27
16.0,19.99,19.99,TNM,0.0,19.99,20.05,19.99,15266.0,0.75,3.75,7.5,13.32,4.37,200708.6,15063.0,10040450000.0,2021-01-05,14:47:27
