counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,79.15,79.14,AIRTEL,79.15,0.0,79.12,79.14,858332.0,0.0,0.0,-1.77,-56.44,-82.08,870540.0,-15424.24,11000000000.0,2024-11-22,14:47:58
2.0,,,BHL,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-11-22,14:47:58
3.0,148.69,148.66,FDHB,148.0,148.66,148.7,148.66,92657.0,3.28,2.21,3.47,28.78,17.48,1025907.31,35646.93,6901031250.0,2024-11-22,14:47:58
4.0,400.0,400.0,FMBCH,400.0,430.0,400.0,400.0,40000.0,10.99,2.75,6.13,16.31,4.25,983300.0,60287.2,2458250000.0,2024-11-22,14:47:58
5.0,15.79,15.78,ICON,0.0,15.79,15.79,15.78,31281062.0,0.27,1.71,18.18,5.5,0.87,105410.4,19159.35,6680000000.0,2024-11-22,14:47:58
6.0,1355.12,1355.12,ILLOVO,1355.12,0.0,1355.09,1355.12,2419.0,29.2,2.15,5.87,17.03,6.95,966802.76,56758.0,713444391.0,2024-11-22,14:47:58
7.0,14.83,14.81,MPICO,14.83,0.0,14.81,14.82,9002829.0,0.38,2.56,16.06,6.23,0.59,34057.06,5468.81,2298047460.0,2024-11-22,14:47:58
8.0,3450.01,3450.0,NBM,0.0,3450.01,3450.01,3450.01,3637.0,102.8,2.98,4.48,22.3,7.8,1610919.17,72245.0,466931738.0,2024-11-22,14:47:58
9.0,151.99,151.99,NBS,149.63,151.99,152.0,151.99,229773.0,4.54,2.99,6.64,15.06,8.84,442378.04,29378.0,2910573356.0,2024-11-22,14:47:58
10.0,250.63,250.63,NICO,250.63,263.0,250.39,250.63,17500.0,10.0,3.99,11.9,8.41,2.87,261417.39,31096.0,1043041096.0,2024-11-22,14:47:58
11.0,409.92,409.0,NITL,0.0,409.92,409.92,409.67,240.0,6.5,1.59,38.88,2.57,1.23,55305.45,21504.55,135000000.0,2024-11-22,14:47:58
12.0,,,OMU,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,5.26,19.02,1.71,24187.29,1271.4,12403674.0,2024-11-22,14:47:58
13.0,2499.79,2499.79,PCL,0.0,2499.79,2499.8,2499.79,40.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2024-11-22,14:47:58
14.0,6000.07,6000.06,STANDARD,6000.07,0.0,6000.05,6000.07,6154.0,108.24,1.8,3.73,26.81,7.26,1408025.4,52520.0,234668162.0,2024-11-22,14:47:58
15.0,,,SUNBIRD,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-22,14:47:58
16.0,26.01,26.0,TNM,0.0,26.01,26.01,26.01,132983.0,0.0,0.0,-1.82,-54.86,6.25,261152.1,-4760.0,10040450000.0,2024-11-22,14:47:58
