counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,90.0,90.0,AIRTEL,89.99,90.0,90.0,90.0,158576.0,0.0,0.0,-1.56,-64.18,-93.34,990000.0,-15424.24,11000000000.0,2025-01-02,14:37:37
2.0,,,BHL,,,14.55,14.55,0.0,0.0,0.0,-0.93,-107.89,12.42,85528.61,-792.76,5878254935.0,2025-01-02,14:37:37
3.0,148.23,148.22,FDHB,0.0,148.22,148.23,148.22,1094891.0,3.28,2.21,3.48,28.69,17.42,1022870.85,35646.93,6901031250.0,2025-01-02,14:37:37
4.0,555.0,555.0,FMBCH,0.0,555.0,555.0,555.0,840.0,10.99,1.98,4.42,22.63,5.9,1364328.75,60287.2,2458250000.0,2025-01-02,14:37:37
5.0,18.05,18.05,ICON,0.0,18.05,18.05,18.05,290.0,0.27,1.5,15.89,6.29,1.0,120574.0,19159.35,6680000000.0,2025-01-02,14:37:37
6.0,1355.08,1355.08,ILLOVO,0.0,1355.08,1355.08,1355.08,15820.0,5.0,0.37,2.34,42.72,6.5,966774.23,22632.0,713444391.0,2025-01-02,14:37:37
7.0,18.53,18.53,MPICO,18.53,0.0,18.53,18.53,5000.0,0.38,2.05,12.84,7.79,0.74,42582.82,5468.81,2298047460.0,2025-01-02,14:37:37
8.0,3462.17,3462.17,NBM,3462.17,0.0,3462.17,3462.17,147.0,102.8,2.97,4.47,22.38,7.83,1616597.06,72245.0,466931738.0,2025-01-02,14:37:37
9.0,174.07,174.0,NBS,174.01,200.0,174.07,174.0,3274562.0,4.54,2.61,5.8,17.24,10.12,506439.76,29378.0,2910573356.0,2025-01-02,14:37:37
10.0,419.02,419.01,NICO,419.0,419.02,419.02,419.02,20714.0,10.0,2.39,7.11,14.06,4.8,437055.08,31096.0,1043041096.0,2025-01-02,14:37:37
11.0,440.0,440.0,NITL,0.0,440.0,440.0,440.0,602.0,6.5,1.48,36.2,2.76,1.32,59400.0,21504.55,135000000.0,2025-01-02,14:37:37
12.0,,,OMU,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,4.55,21.99,1.97,27955.99,1271.4,14336331.0,2025-01-02,14:37:37
13.0,,,PCL,2499.79,0.0,2499.79,2499.79,0.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2025-01-02,14:37:37
14.0,,,STANDARD,6483.95,0.0,6483.95,6483.95,0.0,108.24,1.67,3.45,28.97,7.85,1521576.63,52520.0,234668162.0,2025-01-02,14:37:37
15.0,,,SUNBIRD,240.08,0.0,240.08,240.08,0.0,7.7,3.21,8.36,11.96,1.29,62800.75,5251.9,261582580.0,2025-01-02,14:37:37
16.0,25.0,25.0,TNM,0.0,25.0,24.99,25.0,168728.0,0.0,0.0,-1.9,-52.73,6.01,251011.25,-4760.0,10040450000.0,2025-01-02,14:37:37
