counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,140.0,139.98,AIRTEL,135.05,139.99,139.99,139.99,258579.0,2.0,1.43,2.77,36.04,47.95,1539890.0,42722.11,11000000000.0,2025-08-15,14:37:19
2.0,,,BHL,14.61,0.0,14.6,14.6,0.0,0.0,0.0,-1.6,-62.64,1.32,85822.52,-1370.11,5878254935.0,2025-08-15,14:37:19
3.0,689.99,689.95,FDHB,600.01,689.96,689.99,689.97,603168.0,4.73,0.69,1.56,64.29,48.88,4761504.53,74063.0,6901031250.0,2025-08-15,14:37:19
4.0,1450.0,1450.0,FMBCH,1450.0,0.0,1400.08,1450.0,46600.0,3.64,0.25,3.32,30.14,10.83,3564462.5,118254.74,2458250000.0,2025-08-15,14:37:19
5.0,17.95,17.95,ICON,0.0,17.95,17.95,17.95,1086.0,0.29,1.62,20.37,4.91,0.82,119906.0,24424.49,6680000000.0,2025-08-15,14:37:19
6.0,1791.27,1791.26,ILLOVO,0.0,1791.27,1791.28,1791.27,28146.0,5.0,0.28,1.77,56.47,8.59,1277971.53,22632.0,713444391.0,2025-08-15,14:37:19
7.0,,,MPICO,0.0,19.5,19.5,19.5,0.0,0.43,2.21,19.06,5.25,0.69,44811.93,8540.17,2298047460.0,2025-08-15,14:37:19
8.0,6506.11,6506.08,NBM,6506.11,0.0,6506.06,6506.09,15012.0,126.35,1.94,3.37,29.7,11.32,3037899.91,102283.0,466931738.0,2025-08-15,14:37:19
9.0,810.11,810.05,NBS,810.11,0.0,810.03,810.06,112800.0,10.9,1.35,3.1,32.3,21.03,2357739.05,72991.0,2910573356.0,2025-08-15,14:37:19
10.0,1144.37,1144.33,NICO,1144.37,0.0,1144.33,1144.34,140231.0,20.0,1.75,6.03,16.58,7.67,1193593.65,72009.0,1043041096.0,2025-08-15,14:37:19
11.0,1150.01,1150.01,NITL,1150.01,0.0,1150.01,1150.01,6450.0,11.1,0.97,19.17,5.22,2.1,155251.35,29759.48,135000000.0,2025-08-15,14:37:19
12.0,,,OMU,2500.06,0.0,2500.06,2500.06,0.0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798.0,2025-08-15,14:37:19
13.0,5800.0,5800.0,PCL,5800.0,0.0,5800.01,5800.0,200.0,11.25,0.19,9.27,10.78,2.0,697483.76,64673.0,120255820.0,2025-08-15,14:37:19
14.0,4281.17,4281.15,STANDARD,4281.17,0.0,4281.11,4281.17,3156.0,161.93,3.78,1.72,58.16,19.34,5023271.48,86365.0,1173340810.0,2025-08-15,14:37:19
15.0,,,SUNBIRD,460.0,0.0,460.01,460.01,0.0,13.0,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580.0,2025-08-15,14:37:19
16.0,39.5,39.49,TNM,33.58,39.49,39.5,39.49,257586.0,0.0,0.0,2.21,45.3,8.79,455762.0,10060.0,11541200375.0,2025-08-15,14:37:19
