counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,32.5,32.5,AIRTEL,32.5,34.0,32.76,32.5,447452.0,2.1,6.46,6.18,16.18,14.84,357500.0,22091.0,11000000000.0,2021-06-02,14:37:14
2.0,11.0,11.0,BHL,0.0,11.0,11.0,11.0,9000.0,0.0,0.0,-4.91,-20.36,1.37,9237.26,-453.77,839750705.0,2021-06-02,14:37:14
3.0,,,FDHB,0.0,16.41,16.41,16.41,0.0,0.43,2.62,12.35,8.1,4.2,113245.92,13988.78,6901031250.0,2021-06-02,14:37:14
4.0,,,FMBCH,35.54,0.0,35.52,35.52,0.0,0.62,1.75,11.39,8.78,1.34,87317.04,9942.0,2458250000.0,2021-06-02,14:37:14
5.0,,,ICON,10.31,12.13,12.13,12.13,0.0,0.23,1.9,10.62,9.42,1.0,81028.4,8604.76,6680000000.0,2021-06-02,14:37:14
6.0,80.47,80.46,ILLOVO,80.47,0.0,80.46,80.47,38327.0,2.0,2.49,4.77,20.96,0.8,57410.87,2739.0,713444391.0,2021-06-02,14:37:14
7.0,,,MPICO,15.5,16.0,16.0,16.0,0.0,0.28,1.75,11.51,8.69,0.84,36768.76,4231.03,2298047460.0,2021-06-02,14:37:14
8.0,650.08,650.08,NBM,650.08,0.0,650.08,650.08,37.0,27.84,4.28,7.38,13.55,2.58,303542.98,22406.0,466931738.0,2021-06-02,14:37:14
9.0,,,NBS,22.99,26.4,22.99,22.99,0.0,1.15,5.0,10.54,9.49,3.49,66914.08,7049.75,2910573356.0,2021-06-02,14:37:14
10.0,55.01,55.0,NICO,55.0,0.0,55.0,55.0,259877.0,2.3,4.18,17.44,5.73,1.43,57367.26,10004.0,1043041096.0,2021-06-02,14:37:14
11.0,,,NITL,80.7,94.94,94.94,94.94,0.0,1.3,1.37,11.54,8.67,0.99,12816.9,1478.52,135000000.0,2021-06-02,14:37:14
12.0,,,OMU,0.0,2000.0,2190.0,2190.0,0.0,18.25,0.83,-2.23,-44.93,2.94,34781.01,-774.07,15881739.0,2021-06-02,14:37:14
13.0,1199.94,1199.94,PCL,0.0,1199.94,1199.94,1199.94,282090.0,31.0,2.58,2.49,40.19,0.91,144299.77,3590.0,120255820.0,2021-06-02,14:37:14
14.0,1200.15,1200.15,STANDARD,1200.15,0.0,1200.15,1200.15,1274.0,44.74,3.73,8.43,11.86,2.66,281636.99,23743.0,234668162.0,2021-06-02,14:37:14
15.0,,,SUNBIRD,,,90.0,90.0,0.0,0.0,0.0,-5.01,-19.95,0.87,23542.43,-1179.85,261582580.0,2021-06-02,14:37:14
16.0,16.01,16.0,TNM,16.0,16.32,16.0,16.0,58800.0,0.4,2.5,4.81,20.79,3.66,160647.2,7728.0,10040450000.0,2021-06-02,14:37:14
