counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,127.58,127.48,AIRTEL,0.0,127.48,127.57,127.56,17244.0,2.0,1.57,3.04,32.84,43.69,1403160.0,42722.11,11000000000.0,2025-06-20,14:38:54
2.0,14.51,14.5,BHL,0.0,14.55,14.5,14.5,1078251.0,0.0,0.0,-1.61,-62.21,1.31,85234.7,-1370.11,5878254935.0,2025-06-20,14:38:54
3.0,314.0,314.0,FDHB,0.0,314.0,314.0,314.0,100703.0,4.73,1.51,3.42,29.26,22.25,2166923.81,74063.0,6901031250.0,2025-06-20,14:38:54
4.0,,,FMBCH,1000.04,0.0,1000.04,1000.04,0.0,3.64,0.36,4.81,20.79,7.47,2458348.33,118254.74,2458250000.0,2025-06-20,14:38:54
5.0,,,ICON,0.0,17.94,17.95,17.95,0.0,0.29,1.62,20.37,4.91,0.82,119906.0,24424.49,6680000000.0,2025-06-20,14:38:54
6.0,1791.36,1791.36,ILLOVO,0.0,1791.36,1791.36,1791.36,3147.0,5.0,0.28,1.77,56.47,8.59,1278035.74,22632.0,713444391.0,2025-06-20,14:38:54
7.0,,,MPICO,19.01,0.0,19.01,19.01,0.0,0.43,2.26,19.55,5.12,0.67,43685.88,8540.17,2298047460.0,2025-06-20,14:38:54
8.0,,,NBM,6200.33,6300.0,6200.29,6200.29,0.0,126.35,2.04,3.53,28.3,10.78,2895112.19,102283.0,466931738.0,2025-06-20,14:38:54
9.0,620.44,620.0,NBS,620.44,0.0,541.1,620.42,24162.0,10.9,1.76,4.04,24.74,16.11,1805777.92,72991.0,2910573356.0,2025-06-20,14:38:54
10.0,854.01,776.4,NICO,776.4,854.01,776.37,844.22,234734.0,20.0,2.37,8.18,12.23,5.66,880556.15,72009.0,1043041096.0,2025-06-20,14:38:54
11.0,820.05,820.03,NITL,820.03,0.0,820.03,820.04,7370.0,11.1,1.35,26.88,3.72,1.5,110705.4,29759.48,135000000.0,2025-06-20,14:38:54
12.0,,,OMU,,,2500.03,2500.03,0.0,82.64,3.31,6.12,16.35,2.18,42444.39,2595.65,16977551.0,2025-06-20,14:38:54
13.0,,,PCL,4000.0,0.0,3999.98,3999.98,0.0,11.25,0.28,13.44,7.44,1.38,481020.87,64673.0,120255820.0,2025-06-20,14:38:54
14.0,,,STANDARD,11000.0,0.0,10999.54,10999.54,0.0,161.93,1.47,3.35,29.89,9.94,2581241.83,86365.0,234668162.0,2025-06-20,14:38:54
15.0,,,SUNBIRD,350.01,0.0,350.01,350.01,0.0,13.0,3.71,11.6,8.62,1.31,91556.52,10624.63,261582580.0,2025-06-20,14:38:54
16.0,,,TNM,23.04,0.0,23.04,23.04,0.0,0.0,0.0,3.78,26.43,5.13,265909.26,10060.0,11541200375.0,2025-06-20,14:38:54
