counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,BHL,,,8.0,8.0,0.0,1.15,14.38,7.54,13.26,1.31,6718.01,506.54,839750705.0,2018-08-14,15:25:39
2.0,159.99,159.99,FMBCH,0.0,159.99,159.99,159.99,859.0,0.0,0.0,6.75,14.81,3.6,373776.64,25245.06,2336250000.0,2018-08-14,15:25:39
3.0,,,ILLOVO,205.0,0.0,240.0,240.0,0.0,0.0,0.0,4.13,24.18,4.68,171226.65,7080.0,713444391.0,2018-08-14,15:25:39
4.0,,,MPICO,19.0,19.5,19.5,19.5,0.0,0.18,0.92,11.36,8.8,1.62,44811.93,5092.87,2298047460.0,2018-08-14,15:25:39
5.0,310.01,310.01,NBM,310.01,0.0,310.01,310.01,10452.0,19.3,6.23,13.23,7.56,1.79,144753.51,19147.0,466931738.0,2018-08-14,15:25:39
6.0,8.66,8.66,NBS,0.0,0.0,8.66,8.66,15360.0,,,-4.33,-23.08,2.01,25205.57,-1092.31,2910573356.0,2018-08-14,15:25:39
7.0,,,NICO,0.0,54.0,54.0,54.0,0.0,1.5,2.78,19.75,5.06,2.5,56324.22,11123.0,1043041096.0,2018-08-14,15:25:39
8.0,,,NITL,0.0,75.0,75.0,75.0,0.0,1.3,1.73,21.94,4.56,1.18,10125.0,2221.35,135000000.0,2018-08-14,15:25:39
9.0,,,OMU,0.0,0.0,2513.25,2513.25,0.0,0.0,0.0,9.65,10.36,1.54,14647.23,1413.28,5828003.0,2018-08-14,15:25:39
10.0,,,PCL,772.0,0.0,772.0,772.0,0.0,25.0,3.24,42.73,2.34,0.74,92837.49,39673.0,120255820.0,2018-08-14,15:25:39
11.0,,,STANDARD,600.0,670.0,670.0,670.0,0.0,10.65,1.59,7.74,12.93,2.18,157227.67,12162.0,234668162.0,2018-08-14,15:25:39
12.0,,,SUNBIRD,145.0,0.0,145.0,145.0,0.0,0.92,0.63,6.42,15.58,2.02,37929.47,2433.87,261582580.0,2018-08-14,15:25:39
13.0,25.0,25.0,TNM,0.0,25.0,25.0,25.0,179300.0,0.6,2.4,5.22,19.15,8.62,251011.25,13108.0,10040450000.0,2018-08-14,15:25:39
