counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,100.07,100.06,AIRTEL,0.0,100.06,100.07,100.07,57090.0,2.5,2.5,3.35,29.81,29.12,1100770.0,36925.31,11000000000.0,2023-07-19,14:57:01
2.0,,,BHL,10.06,0.0,10.06,10.06,0.0,0.0,0.0,-3.44,-29.09,1.28,8447.89,-290.43,839750705.0,2023-07-19,14:57:01
3.0,66.03,66.02,FDHB,66.03,0.0,66.02,66.03,27863.0,2.19,3.32,5.03,19.87,10.89,455675.09,22931.78,6901031250.0,2023-07-19,14:57:01
4.0,,,FMBCH,287.02,0.0,287.02,287.02,0.0,5.03,1.75,5.33,18.77,5.38,705566.92,37581.97,2458250000.0,2023-07-19,14:57:01
5.0,18.99,18.98,ICON,0.0,18.99,18.99,18.99,265633.0,0.25,1.32,13.17,7.59,1.23,126853.2,16706.11,6680000000.0,2023-07-19,14:57:01
6.0,,,ILLOVO,1040.0,1121.41,1121.41,1121.41,0.0,21.0,1.87,3.33,30.04,7.93,800063.67,26630.0,713444391.0,2023-07-19,14:57:01
7.0,,,MPICO,17.5,20.57,20.57,20.57,0.0,0.36,1.75,12.11,8.25,0.9,47270.84,5726.44,2298047460.0,2023-07-19,14:57:01
8.0,2050.0,2050.0,NBM,0.0,2050.0,2050.0,2050.0,5300.0,70.67,3.45,4.96,20.16,5.56,957210.06,47474.0,466931738.0,2023-07-19,14:57:01
9.0,131.9,125.48,NBS,125.49,131.9,125.12,126.71,49545.0,3.3,2.6,5.13,19.51,9.93,368798.75,18905.0,2910573356.0,2023-07-19,14:57:01
10.0,163.02,163.02,NICO,140.0,163.02,163.03,163.02,6532.0,6.0,3.68,11.72,8.53,2.6,170036.56,19925.0,1043041096.0,2023-07-19,14:57:01
11.0,,,NITL,350.0,401.0,350.0,350.0,0.0,3.15,0.9,14.8,6.76,1.97,47250.0,6993.54,135000000.0,2023-07-19,14:57:01
12.0,,,OMU,960.01,0.0,960.0,960.0,0.0,43.73,4.56,8.96,11.16,1.22,13279.17,1190.04,13832469.0,2023-07-19,14:57:01
13.0,2181.29,2181.26,PCL,2181.29,2508.0,2508.0,2181.27,8618.0,36.0,1.65,5.19,19.25,1.23,262310.41,13624.0,120255820.0,2023-07-19,14:57:01
14.0,,,STANDARD,2400.01,0.0,2400.01,2400.01,0.0,85.23,3.55,6.96,14.37,3.8,563205.94,39202.0,234668162.0,2023-07-19,14:57:01
15.0,,,SUNBIRD,190.01,0.0,190.01,190.01,0.0,2.0,1.05,6.14,16.29,1.62,49703.31,3050.5,261582580.0,2023-07-19,14:57:01
16.0,30.0,29.79,TNM,25.9,30.0,29.99,30.0,4427409.0,0.0,0.0,-0.58,-171.14,6.47,301213.5,-1760.0,10040450000.0,2023-07-19,14:57:01
