counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1.0,,,AIRTEL,0.0,27.96,27.97,27.97,0.0,1.25,4.47,5.17,19.34,19.53,307670.0,15908.0,11000000000.0,2021-03-17,14:33:53
2.0,,,BHL,,,11.0,11.0,0.0,0.2,1.82,5.05,19.79,1.42,9237.26,466.7,839750705.0,2021-03-17,14:33:53
3.0,,,FDHB,0.0,16.5,16.5,16.5,0.0,0.0,0.0,6.89,14.51,5.02,113867.02,7846.36,6901031250.0,2021-03-17,14:33:53
4.0,,,FMBCH,27.11,0.0,27.1,27.1,0.0,0.0,0.0,-5.52,-18.1,1.15,66618.58,-3679.93,2458250000.0,2021-03-17,14:33:53
5.0,,,ICON,10.5,12.19,12.19,12.19,0.0,0.21,1.72,8.9,11.23,1.1,81429.2,7248.62,6680000000.0,2021-03-17,14:33:53
6.0,80.46,80.46,ILLOVO,68.5,0.0,80.46,80.46,2283062.0,2.0,2.49,4.77,20.96,0.8,57403.74,2739.0,713444391.0,2021-03-17,14:33:53
7.0,,,MPICO,19.0,20.9,20.9,20.9,0.0,0.25,1.2,11.52,8.68,1.23,48029.19,5532.02,2298047460.0,2021-03-17,14:33:53
8.0,,,NBM,0.0,650.05,650.05,650.05,0.0,17.91,2.76,5.64,17.74,3.01,303528.98,17106.0,466931738.0,2021-03-17,14:33:53
9.0,23.0,22.99,NBS,0.0,23.0,23.0,23.0,487755.0,0.35,1.52,6.66,15.02,4.36,66943.19,4457.61,2910573356.0,2021-03-17,14:33:53
10.0,,,NICO,44.2,51.95,51.95,51.95,0.0,1.9,3.66,14.78,6.76,1.7,54185.98,8011.0,1043041096.0,2021-03-17,14:33:53
11.0,,,NITL,80.75,90.9,94.94,94.94,0.0,0.75,0.79,13.89,7.2,1.11,12816.9,1779.69,135000000.0,2021-03-17,14:33:53
12.0,,,OMU,0.0,2190.0,2190.0,2190.0,0.0,54.03,2.47,3.8,26.35,3.31,34614.33,1313.71,15805631.0,2021-03-17,14:33:53
13.0,,,PCL,0.0,1200.0,1199.95,1199.95,0.0,26.0,2.17,5.65,17.69,0.92,144300.97,8157.0,120255820.0,2021-03-17,14:33:53
14.0,,,STANDARD,1200.1,0.0,1200.1,1200.1,0.0,44.74,3.73,8.43,11.86,2.66,281625.26,23743.0,234668162.0,2021-03-17,14:33:53
15.0,,,SUNBIRD,,,90.0,90.0,0.0,1.0,1.11,11.02,9.07,1.01,23542.43,2594.55,261582580.0,2021-03-17,14:33:53
16.0,16.5,16.5,TNM,0.0,16.5,16.5,16.5,17900.0,0.75,4.55,9.09,11.0,3.61,165667.43,15063.0,10040450000.0,2021-03-17,14:33:53
